#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
.,.,#,.,#,.,#,#,.,#,.,#,#,.,#,.,.,.,.,.,.,#,.,#,#,#,.,.,.,#,#,.,#,.,#,.,.,#,#,#,#,.,.,#,.,.,#,#,#,.,#,.,.,#,#,#,#,.,#,.,#,#,.,#,.,.,.,#,.,.,#,.,.,#,.,#,#,.,.,#,.,#,#,#,.,.,#,.,.,#,#,#,.,.,#,#,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,.,.,#,#,.,#,.,#,#,.,#,.,.,.,#,.,.,#,.,#,#,.,#,.,.,#,#,.,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,#,.,#,.,.,.,.,#,.,.,#,#,.,.,#,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,.,#,.,#,.,#,#,#,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,#,#,.,.,#,.,#,.,.,#,.,.,.,.,#,#,.,#,.,#,#,#,.,.,#,.,.,#,.,#,.,.,.,#
#,.,#,.,#,.,#,.,.,#,#,.,#,.,.,#,#,#,.,#,.,#,.,.,.,#,.,#,#,.,#,#,.,.,#,#,.,#,.,.,.,.,#,.,#,.,.,#,.,.,#,#,.,.,#,.,#,.,#,.,.,.,.,.,.,#,#,.,#,.,.,#,#,#,.,#,.,.,#,.,.,.,#,.,#,#,#,#,.,.,.,#,.,#,.,.,.,#,.,#,#,#,.,.,.,#,.,.,#,.,#,#,.,#,.,.,.,.,.,#,#,.,.,#,.,.,#,#,.,.,.,.,.,.,#,.,#,.,#,#,#,.,.,.,#,.,.,#,#,#,.,#,.,#,.,.,.,.,#,#,.,.,#,#,.,.,.,#,.,#,#,.,.,.,.,#,.,#,.,#,#,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,#,.,#,.,#,.,#,#,.,#,#,.,#,.,.,.,#,.,#,.,#,.,#,#,#,.,.,#,#,.,#,#,.,#,.,#,.,.,#,.,#,.,#,#,.,.,.,#,.,#
#,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,#,.,.,.,.,#,.,#,.,.,.,#,#,.,.,#,#,.,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,.,#,#,#,#,.,.,.,#,#,.,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,.,#,.,#,#,#,.,#,#,#,#,#,.,.,#,.,#,#,.,#,.,#,.,.,#,.,#,#,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,#,.,#,.,.,#,.,#,.,#,.,.,.,#,#,.,.,#,.,.,.,.,.,#,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,#,.,#,.,#,.,#,#,#,.,.,#
.,#,.,#,.,.,#,#,.,#,.,#,#,.,.,#,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,.,#,.,#,#,#,.,#,.,.,#,.,.,.,.,#,#,#,.,#,.,#,.,.,#,#,.,#,.,.,#,#,.,#,.,.,.,#,#,.,#,#,.,.,#,.,#,#,#,.,.,#,#,.,#,.,#,.,.,.,#,.,#,.,#,.,#,#,#,.,#,.,.,#,#,.,#,.,#,.,.,.,#,#,.,.,.,#,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,#,#,.,.,.,.,#,#,#,#,.,#,#,#,.,#,#,.,.,.,#,.,#,.,#,.,.,#,#,.,.,.,.,#,#,#,#,.,#,#,.,.,.,#,.,#,.,#,.,#,#,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,.,#,.,#,#,.,.,#,.,.,#,#,.,#,#,#,.,#,.,.,#,.,#,#,#,#,.,#,#,#,.,.,.,#,.,.,.,.,.,.,#,.,#
.,.,.,#,.,#,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,.,.,#,.,#,.,.,.,.,.,.,#,.,#,.,#,.,#,#,#,#,.,.,.,.,#,.,#,.,.,#,#,.,.,#,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,.,.,#,#,.,#,.,#,#,#,.,#,.,.,.,.,.,#,#,.,#,.,.,#,.,#,.,#,.,#,#,#,#,.,.,.,#,.,#,.,.,.,.,#,#,.,.,#,.,#,#,.,.,.,#,.,#,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,#,.,.,#,#,.,.,.,.,.,#,.,#,.,#,.,#,.,.,.,#,#,#,.,#,.,.,#,.,#,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,#,.,#,#,.,.,#,#,#,.,#,.,.,#
#,#,#,#,.,.,#,.,#,#,.,#,.,#,#,.,#,#,.,#,#,#,#,#,.,#,.,.,#,.,#,#,#,.,#,.,#,.,#,.,#,#,#,#,.,.,.,#,.,.,.,#,#,.,.,#,#,.,#,.,#,.,#,.,.,.,#,.,.,#,#,#,.,.,.,#,.,#,.,.,#,.,.,#,#,.,#,#,#,#,.,#,.,.,#,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.,#,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,#,.,#,.,.,#,.,#,.,#,.,#,.,.,#,#,#,.,#,.,#,#,.,#,.,#,#,.,.,.,.,#,.,#,#,#,.,.,.,.,#,.,.,#,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,#,#,.,#,.,#,.,.,#,.,#,#,#,#,.,#,#,.,.,.,#,.,.,#,.,.,#,.,#,#,.,.
#,.,.,.,#,.,.,#,#,.,.,#,.,.,.,#,.,.,.,.,.,.,#,.,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,#,#,.,.,.,#,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,#,.,.,.,#,.,#,#,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,#,#,.,#,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,#,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,#,.,.,.,#,#,.,.,.,.,#,.,.,.,#,#,#,#,#,#,.,.,.,.,#,#,#,.,.,#,.,#,.,#,.,.,#,.,.,#,#,.,#,.,#,#,.,.,.,#,#,.,.,#,.,#,.,.,.,.,.,.,#,.,#,#,#,.,#,.,.,#,.,#,.,.,.,.,#
.,.,#,#,.,#,.,.,.,#,.,.,#,#,.,#,.,#,#,.,#,.,#,.,#,.,.,#,.,#,#,#,.,#,.,#,#,#,.,#,#,.,#,.,.,.,#,#,#,.,#,.,#,#,.,#,.,#,.,.,#,#,.,#,.,#,.,#,.,.,.,.,#,.,#,#,#,.,.,.,#,.,#,.,#,#,#,#,.,#,#,#,#,.,#,#,.,#,#,#,.,#,.,#,.,.,.,#,#,.,.,.,#,#,#,.,.,.,#,.,#,.,.,#,.,.,#,#,.,#,.,.,#,#,.,.,.,#,.,.,#,#,.,#,.,#,.,#,.,#,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,#,#,#,.,.,#,.,#,.,.,.,#,#,#,.,#,#,.,#,.,.,.,.,#,.,.,#,#,#,.,.,.,.,#,.,.,.,.,#,#,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.,.,#,#,.,.,.,#,.,#,#,#,.,#,.,.,.,.,.,.,#,.,#,.,.,#,#,#,#,.
#,.,.,.,.,.,#,#,.,#,#,.,.,.,#,.,.,#,.,#,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,#,#,.,#,.,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,#,.,.,.,#,#,#,.,.,#,.,#,#,#,#,.,.,#,.,.,.,.,.,#,#,.,#,.,.,.,.,.,.,#,.,.,.,.,#,.,#,.,.,#,.,#,#,.,.,.,#,#,#,.,.,#,#,#,#,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,.,#,#,.,.,.,.,#,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,#,#,.,.,.,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,.,#,#,#,.,.,#,.,.,.,#,.,.,#,#,#,#,.,.,#,#,.,.,.,#,#,.,.,#,.,.,#,#,.,.,#,.,#,.,#,#,.,.,#,.,.,.,.,.,.
#,#,#,#,#,#,.,#,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,#,.,.,.,.,#,.,.,#,#,#,.,#,.,.,#,.,#,.,#,.,.,.,.,.,#,#,.,.,#,.,#,.,.,.,.,#,#,.,#,.,#,.,#,#,#,.,.,.,.,#,.,.,.,.,.,.,.,#,.,#,#,#,#,.,.,.,.,.,.,#,#,#,#,.,.,#,#,#,#,#,.,.,#,.,#,.,.,#,.,#,.,.,.,.,#,#,.,.,.,.,.,#,.,#,.,#,.,.,#,.,#,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,#,#,.,#,.,.,#,.,#,#,.,#,.,#,#,#,#,#,.,#,.,#,#,.,.,.,#,#,#,#,#,.,#,.,#,.,#,.,#,.,#,.,.,#,#,#,.,#,.,#,.,#,.,.,.,#,.,.,#,.,#,#,#,.,.,.,.,.,#,.,.,#,#,.,.,#,#,.,.,#,.,.,.,.,#,#,.,.,#,.,.,.,#,#,#,.,#,#,.,#
.,.,.,.,.,.,.,.,.,#,.,.,#,.,#,.,.,#,#,.,#,.,.,#,.,#,#,.,#,#,#,#,.,.,.,#,#,.,#,.,#,.,.,#,.,#,#,#,.,.,.,#,.,.,#,.,#,#,#,.,.,.,#,.,.,.,.,.,#,#,.,#,#,.,.,#,#,#,.,#,#,.,.,.,.,.,.,#,#,.,#,#,#,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,#,.,.,.,#,#,#,.,.,.,.,#,#,#,#,.,.,.,#,#,.,#,#,.,#,.,.,#,.,.,.,.,.,.,#,#,#,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,#,#,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,.,#,#,.,.,.,#,.,.,#,#,.,#,.,.,.,.,#,.
.,#,#,#,#,#,#,.,#,.,.,#,.,.,#,#,.,#,.,.,.,.,#,#,.,.,#,#,.,.,.,.,.,#,#,.,#,.,.,.,.,#,.,.,#,.,.,.,#,.,#,#,#,.,#,.,#,.,.,.,#,#,.,.,#,.,#,.,.,#,.,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,.,.,#,.,#,.,#,#,#,#,.,#,.,.,#,#,.,.,.,#,#,.,.,.,#,.,#,#,.,.,.,.,#,#,.,.,.,.,.,.,.,#,#,.,.,.,#,#,#,#,.,.,.,.,#,.,.,.,#,#,.,#,#,.,#,.,#,.,#,#,#,.,#,.,#,.,.,#,#,.,.,.,#,.,#,#,.,#,.,#,.,#,.,.,#,.,#,.,.,#,.,#,.,#,#,.,#,.,.,#,.,#,.,#,.,.,.,.,#,#,#,.,.,#,.,.,.,.,#,.,.,#,#,.,.,#,.,.,#,#,#,.,#,#,.,.,#,.,.,.,.,.,#,#,.,#,#
#,.,.,.,.,.,.,#,.,#,.,#,#,#,.,.,.,#,#,.,#,.,#,.,#,.,.,#,.,#,.,#,#,.,#,.,.,.,#,#,#,.,.,#,#,.,#,.,#,.,.,#,.,.,.,.,#,.,#,#,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,.,.,.,#,#,.,#,.,.,#,#,#,.,#,.,.,#,#,#,#,.,.,#,.,.,.,.,.,#,.,.,#,.,.,#,#,#,.,#,.,#,.,.,#,.,#,.,#,#,.,.,#,.,#,#,#,.,#,#,.,.,.,#,#,.,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,#,#,.,.,.,#,#,#,.,.,#,.,.,.,#,#,.,.,#,.,#,#,#,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,#,.,.,#,.,.,#,.,#,#,.,#,.,.,.
.,#,#,.,#,.,#,.,.,.,.,.,.,#,.,#,#,.,.,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,#,.,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,#,#,#,.,.,.,#,.,#,.,.,#,.,#,#,#,#,.,.,#,#,.,#,.,.,#,.,.,#,.,.,#,.,.,#,#,.,#,.,.,#,.,#,#,#,.,#,#,.,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,#,.,.,.,#,.,.,.,#,#,.,.,.,#,#,.,#,.,.,.,.,.,#,.,#,.,.,#,#,.,#,.,.,#,#,.,#,#,.,.,.,.,#,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,#,#,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,#,.,#,#,#,#,.,.,#,#,.,.,#,#,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,#,.,.,.,.,#,.,#
.,#,.,.,#,#,#,.,#,.,#,#,.,#,.,.,.,#,#,#,.,#,.,#,.,.,.,#,#,.,#,.,.,.,#,#,#,.,.,#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,.,.,.,.,#,.,.,#,#,.,#,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,#,#,.,.,#,.,#,.,.,#,.,#,.,.,.,.,.,#,.,#,#,.,#,.,.,.,#,.,#,#,.,#,.,.,.,.,#,.,#,.,#,#,.,.,.,#,#,.,#,.,.,#,#,.,#,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,#,.,.,.,#,.,#,.,#,.,#,.,.,#,#,.,#,#,.,#,.,#,#,.,.,#,.,#,#,.,.,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,#,#,.,#,.,.,#,.,.,#,.,.,.,.,.,#,#,.,.,#,.
.,#,.,#,.,.,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#,.,.,.,#,#,#,.,.,.,#,.,#,#,.,.,.,.,#,#,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,#,#,#,.,.,#,.,.,.,.,.,#,.,.,#,.,.,#,.,.,#,#,#,#,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,#,.,#,#,.,#,.,.,.,#,#,#,#,.,#,.,.,.,.,#,#,#,#,.,.,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,#,#,.,#,.,#,#,.,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,#,#,.,#,#,#,#,.,#,.,#,.,#,.,#,.,.,.,.,.,.,#,#,.,#,.,.,#,#,#,#,#,.,.,#,.,.,#
