#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
.,.,#,.,#,.,#,#,.,#,.,#,#,.,#,.,.,.,.,.,.,#,.,#,#,#,.,.,.,#,#,.,#,.,#,.,.,#,#,#,#,.,.,#,.,.,#,#,#,.,#,.,.,#,#,#,#,.,#,.,#,#,.,#,.,.,.,#,.,.,#,.,.,#,.,#,#,.,.,#,.,#,#,#,.,.,#,.,.,#,#,#,.,.,#,#,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,.,.,#,#,.,#,.,#,#,.,#,.,.,.,#,.,.,#,.,#,#,.,#,.,.,#,#,.,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,#,.,#,.,.,.,.,#,.,.,#,#,.,.,#,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,.,#,.,#,.,#,#,#,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,#,#,.,.,#,.,#,.,.,#,.,.,.,.,#,#,.,#,.,#,#,#,.,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,#,#,#,#,#,#,.,.,#,#,.,#,.,#,.,.,.,.,#,.,#,.,#,#,#,#,#,.,#,.,#,.,.,#,.,.,#,.,#,.,#,.,.,#,.
#,.,#,.,#,.,#,.,.,#,#,.,#,.,.,#,#,#,.,#,.,#,.,.,.,#,.,#,#,.,#,#,.,.,#,#,.,#,.,.,.,.,#,.,#,.,.,#,.,.,#,#,.,.,#,.,#,.,#,.,.,.,.,.,.,#,#,.,#,.,.,#,#,#,.,#,.,.,#,.,.,.,#,.,#,#,#,#,.,.,.,#,.,#,.,.,.,#,.,#,#,#,.,.,.,#,.,.,#,.,#,#,.,#,.,.,.,.,.,#,#,.,.,#,.,.,#,#,.,.,.,.,.,.,#,.,#,.,#,#,#,.,.,.,#,.,.,#,#,#,.,#,.,#,.,.,.,.,#,#,.,.,#,#,.,.,.,#,.,#,#,.,.,.,.,#,.,#,.,#,#,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,#,.,#,.,#,.,#,#,.,#,#,.,#,.,.,.,#,.,#,.,#,.,#,#,#,.,.,#,#,.,#,#,.,#,.,#,.,.,#,.,#,.,#,#,.,.,.,#,.,#,.,#,.,#,.,.,.,.,.,.,.,#,#,.,#,.,.,#,.,.,#,#,#,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,#,#,.,.,.,.,.,#,.,#,.,.
#,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,#,.,.,.,.,#,.,#,.,.,.,#,#,.,.,#,#,.,.,.,.,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,.,#,#,#,#,.,.,.,#,#,.,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,.,#,.,#,#,#,.,#,#,#,#,#,.,.,#,.,#,#,.,#,.,#,.,.,#,.,#,#,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,#,.,#,.,.,#,.,#,.,#,.,.,.,#,#,.,.,#,.,.,.,.,.,#,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,#,.,#,.,#,.,#,#,#,.,.,#,.,#,.,.,#,#,#,.,#,#,.,.,.,.,.,#,.,.,#,.,#,.,.,.,#,#,.,.,#,.,#,#,#,#,#,.,#,.,.,#,.,#,#,.,#,.,.,#,.,#
.,#,.,#,.,.,#,#,.,#,.,#,#,.,.,#,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,.,#,.,#,#,#,.,#,.,.,#,.,.,.,.,#,#,#,.,#,.,#,.,.,#,#,.,#,.,.,#,#,.,#,.,.,.,#,#,.,#,#,.,.,#,.,#,#,#,.,.,#,#,.,#,.,#,.,.,.,#,.,#,.,#,.,#,#,#,.,#,.,.,#,#,.,#,.,#,.,.,.,#,#,.,.,.,#,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,#,#,.,.,.,.,#,#,#,#,.,#,#,#,.,#,#,.,.,.,#,.,#,.,#,.,.,#,#,.,.,.,.,#,#,#,#,.,#,#,.,.,.,#,.,#,.,#,.,#,#,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,.,#,.,#,#,.,.,#,.,.,#,#,.,#,#,#,.,#,.,.,#,.,#,#,#,#,.,#,#,#,.,.,.,#,.,.,.,.,.,.,#,.,#,.,#,#,.,.,.,.,#,.,.,#,.,#,#,.,.,#,.,#,.,#,.,#,.,.,.,.,#,#,.,#,.,.,.,.,.,.,#,.,#,.,.,.,#,.,.,#,.,.,.
.,.,.,#,.,#,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,.,.,#,.,#,.,.,.,.,.,.,#,.,#,.,#,.,#,#,#,#,.,.,.,.,#,.,#,.,.,#,#,.,.,#,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,.,.,#,#,.,#,.,#,#,#,.,#,.,.,.,.,.,#,#,.,#,.,.,#,.,#,.,#,.,#,#,#,#,.,.,.,#,.,#,.,.,.,.,#,#,.,.,#,.,#,#,.,.,.,#,.,#,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,#,.,.,#,#,.,.,.,.,.,#,.,#,.,#,.,#,.,.,.,#,#,#,.,#,.,.,#,.,#,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,#,.,#,#,.,.,#,#,#,.,#,.,.,#,.,.,.,#,#,.,#,.,.,#,.,#,.,.,.,#,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,.,#,#,#,#,.,#,.,.,#,#,.,#,.,#,.,.,#,.
#,#,#,#,.,.,#,.,#,#,.,#,.,#,#,.,#,#,.,#,#,#,#,#,.,#,.,.,#,.,#,#,#,.,#,.,#,.,#,.,#,#,#,#,.,.,.,#,.,.,.,#,#,.,.,#,#,.,#,.,#,.,#,.,.,.,#,.,.,#,#,#,.,.,.,#,.,#,.,.,#,.,.,#,#,.,#,#,#,#,.,#,.,.,#,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.,#,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,#,.,#,.,.,#,.,#,.,#,.,#,.,.,#,#,#,.,#,.,#,#,.,#,.,#,#,.,.,.,.,#,.,#,#,#,.,.,.,.,#,.,.,#,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,#,#,.,#,.,#,.,.,#,.,#,#,#,#,.,#,#,.,.,.,#,.,.,#,.,.,#,.,#,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,#,#,.,.,.,.,.,#,.,#,#,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,#,.,#,#,#,.,.
#,.,.,.,#,.,.,#,#,.,.,#,.,.,.,#,.,.,.,.,.,.,#,.,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,#,#,.,.,.,#,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,#,.,.,.,#,.,#,#,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,#,#,.,#,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,#,#,.,.,#,.,.,.,.,#,.,#,.,#,.,.,.,#,.,#,.,.,.,#,#,.,.,.,.,#,.,.,.,#,#,#,#,#,#,.,.,.,.,#,#,#,.,.,#,.,#,.,#,.,.,#,.,.,#,#,.,#,.,#,#,.,.,.,#,#,.,.,#,.,#,.,.,.,.,.,.,#,.,#,#,#,.,#,.,.,#,.,#,.,.,.,.,#,.,.,.,.,#,.,.,.,#,.,#,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,#,.,.,#,#,.,.,#,#,.,.,.,#,.,.,#,#,#,.,.,.,#,.,#
.,.,#,#,.,#,.,.,.,#,.,.,#,#,.,#,.,#,#,.,#,.,#,.,#,.,.,#,.,#,#,#,.,#,.,#,#,#,.,#,#,.,#,.,.,.,#,#,#,.,#,.,#,#,.,#,.,#,.,.,#,#,.,#,.,#,.,#,.,.,.,.,#,.,#,#,#,.,.,.,#,.,#,.,#,#,#,#,.,#,#,#,#,.,#,#,.,#,#,#,.,#,.,#,.,.,.,#,#,.,.,.,#,#,#,.,.,.,#,.,#,.,.,#,.,.,#,#,.,#,.,.,#,#,.,.,.,#,.,.,#,#,.,#,.,#,.,#,.,#,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,#,#,#,.,.,#,.,#,.,.,.,#,#,#,.,#,#,.,#,.,.,.,.,#,.,.,#,#,#,.,.,.,.,#,.,.,.,.,#,#,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.,.,#,#,.,.,.,#,.,#,#,#,.,#,.,.,.,.,.,.,#,.,#,.,.,#,#,#,#,.,#,.,#,.,.,#,.,#,#,.,.,#,.,#,#,.,#,.,#,.,.,#,#,.,.,#,.,.,#,.,.,.,#,.,.,#,#,.,#,#,.,.,.,.,#,#,.,#,.,#
#,.,.,.,.,.,#,#,.,#,#,.,.,.,#,.,.,#,.,#,#,.,.,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,#,#,.,#,.,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,#,.,.,.,#,#,#,.,.,#,.,#,#,#,#,.,.,#,.,.,.,.,.,#,#,.,#,.,.,.,.,.,.,#,.,.,.,.,#,.,#,.,.,#,.,#,#,.,.,.,#,#,#,.,.,#,#,#,#,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,.,#,#,.,.,.,.,#,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,#,#,.,.,.,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,.,#,#,#,.,.,#,.,.,.,#,.,.,#,#,#,#,.,.,#,#,.,.,.,#,#,.,.,#,.,.,#,#,.,.,#,.,#,.,#,#,.,.,#,.,.,.,.,.,.,.,#,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,.,.,.,#,#,#,.,#,.,.,#,.,.
#,#,#,#,#,#,.,#,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,#,.,.,.,.,#,.,.,#,#,#,.,#,.,.,#,.,#,.,#,.,.,.,.,.,#,#,.,.,#,.,#,.,.,.,.,#,#,.,#,.,#,.,#,#,#,.,.,.,.,#,.,.,.,.,.,.,.,#,.,#,#,#,#,.,.,.,.,.,.,#,#,#,#,.,.,#,#,#,#,#,.,.,#,.,#,.,.,#,.,#,.,.,.,.,#,#,.,.,.,.,.,#,.,#,.,#,.,.,#,.,#,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,#,#,.,#,.,.,#,.,#,#,.,#,.,#,#,#,#,#,.,#,.,#,#,.,.,.,#,#,#,#,#,.,#,.,#,.,#,.,#,.,#,.,.,#,#,#,.,#,.,#,.,#,.,.,.,#,.,.,#,.,#,#,#,.,.,.,.,.,#,.,.,#,#,.,.,#,#,.,.,#,.,.,.,.,#,#,.,.,#,.,.,.,#,#,#,.,#,#,.,#,.,#,.,.,#,.,#,.,#,#,.,#,.,#,#,#,.,#,.,#,.,.,.,#,.,#,.,.,#,#,.,#,.,.,.,.,.,#,.,#,.,.,#,.,#,.,#,#,#,.
.,.,.,.,.,.,.,.,.,#,.,.,#,.,#,.,.,#,#,.,#,.,.,#,.,#,#,.,#,#,#,#,.,.,.,#,#,.,#,.,#,.,.,#,.,#,#,#,.,.,.,#,.,.,#,.,#,#,#,.,.,.,#,.,.,.,.,.,#,#,.,#,#,.,.,#,#,#,.,#,#,.,.,.,.,.,.,#,#,.,#,#,#,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,#,.,.,.,#,#,#,.,.,.,.,#,#,#,#,.,.,.,#,#,.,#,#,.,#,.,.,#,.,.,.,.,.,.,#,#,#,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,#,#,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,.,#,#,.,.,.,#,.,.,#,#,.,#,.,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,.,.,.,.,.,#,#,.,#,.,.,.,.,#,.,.,#,.,.,#,.,.
